ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
SOJTILZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
JOILSTZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
OZSJLIT,0,,,
SJITLOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
SOZITJL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
IOLZJTS,0,,,
SJOTILZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ZOSJLIT,0,,,
OILZJTS,0,,,
SJITOLZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
OJILSTZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
OSZITJL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
OJILSZT,0,,,
ZSOJLIT,0,,,
OILJZTS,0,,,
OZTLJSI,0,,,
OZSITJL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
